aphiaid,species,ecoregion,taxon
137088,balaenoptera borealis,greater north sea,mammals
242603,balaenoptera brydei,oceanic northeast atlantic,mammals
242603,balaenoptera brydei,azores,mammals
137090,balaenoptera musculus,barents sea,mammals
137090,balaenoptera musculus,norwegian sea,mammals
137090,balaenoptera musculus,faroes,mammals
137090,balaenoptera musculus,icelandic waters,mammals
137090,balaenoptera musculus,greenland sea,mammals
137090,balaenoptera musculus,arcticocean,mammals
137090,balaenoptera musculus,oceanic northeast atlantic,mammals
137090,balaenoptera musculus,azores,mammals
137090,balaenoptera musculus,bay of biscay and the iberian coast,mammals
137090,balaenoptera musculus,celtic seas,mammals
137091,balaenoptera physalus,barents sea,mammals
137091,balaenoptera physalus,norwegian sea,mammals
137091,balaenoptera physalus,faroes,mammals
137091,balaenoptera physalus,icelandic waters,mammals
137091,balaenoptera physalus,greenland sea,mammals
137091,balaenoptera physalus,arcticocean,mammals
137091,balaenoptera physalus,oceanic northeast atlantic,mammals
137091,balaenoptera physalus,azores,mammals
137091,balaenoptera physalus,bay of biscay and the iberian coast,mammals
137091,balaenoptera physalus,celtic seas,mammals
137091,balaenoptera physalus,greater north sea,mammals
137091,balaenoptera physalus,baltic sea,mammals
126958,bodianus scrofa,azores,fish
126783,brama brama,greenland sea,fish
126783,brama brama,norwegian sea,fish
126783,brama brama,icelandic waters,fish
126783,brama brama,faroes,fish
126783,brama brama,greater north sea,fish
126783,brama brama,celtic seas,fish
126783,brama brama,oceanic northeast atlantic,fish
126783,brama brama,azores,fish
126783,brama brama,bay of biscay and the iberian coast,fish
159197,bucephala clangula,barents sea,birds
159197,bucephala clangula,norwegian sea,birds
159197,bucephala clangula,faroes,birds
159197,bucephala clangula,icelandic waters,birds
159197,bucephala clangula,bay of biscay and the iberian coast,birds
159197,bucephala clangula,celtic seas,birds
159197,bucephala clangula,greater north sea,birds
159197,bucephala clangula,baltic sea,birds
1348497,calonectris borealis,oceanic northeast atlantic,birds
1348497,calonectris borealis,azores,birds
1348497,calonectris borealis,bay of biscay and the iberian coast,birds
1348497,calonectris borealis,celtic seas,birds
137194,calonectris diomedea,oceanic northeast atlantic,birds
137194,calonectris diomedea,azores,birds
137194,calonectris diomedea,bay of biscay and the iberian coast,birds
105789,carcharhinus falciformis,oceanic northeast atlantic,fish
105789,carcharhinus falciformis,azores,fish
105789,carcharhinus falciformis,bay of biscay and the iberian coast,fish
105794,carcharhinus longimanus,oceanic northeast atlantic,fish
105794,carcharhinus longimanus,azores,fish
105794,carcharhinus longimanus,bay of biscay and the iberian coast,fish
105838,carcharodon carcharias,oceanic northeast atlantic,fish
105838,carcharodon carcharias,azores,fish
105838,carcharodon carcharias,bay of biscay and the iberian coast,fish
105899,centrophorus granulosus,oceanic northeast atlantic,fish
105899,centrophorus granulosus,azores,fish
105899,centrophorus granulosus,bay of biscay and the iberian coast,fish
105902,centrophorus uyato,bay of biscay and the iberian coast,fish
105906,centroscyllium fabricii,greenland sea,fish
105906,centroscyllium fabricii,norwegian sea,fish
105906,centroscyllium fabricii,icelandic waters,fish
105906,centroscyllium fabricii,faroes,fish
105906,centroscyllium fabricii,greater north sea,fish
105906,centroscyllium fabricii,celtic seas,fish
105906,centroscyllium fabricii,oceanic northeast atlantic,fish
105906,centroscyllium fabricii,bay of biscay and the iberian coast,fish
280072,centroselachus crepidater ,greenland sea,fish
280072,centroselachus crepidater ,icelandic waters,fish
280072,centroselachus crepidater ,faroes,fish
280072,centroselachus crepidater ,celtic seas,fish
280072,centroselachus crepidater ,oceanic northeast atlantic,fish
280072,centroselachus crepidater ,azores,fish
280072,centroselachus crepidater ,bay of biscay and the iberian coast,fish
137130,cepphus grylle,barents sea,birds
137130,cepphus grylle,norwegian sea,birds
137130,cepphus grylle,faroes,birds
137130,cepphus grylle,icelandic waters,birds
137130,cepphus grylle,greenland sea,birds
137130,cepphus grylle,arcticocean,birds
137130,cepphus grylle,celtic seas,birds
137130,cepphus grylle,greater north sea,birds
137130,cepphus grylle,baltic sea,birds
127262,chelidonichthys lucerna,norwegian sea,fish
127262,chelidonichthys lucerna,greater north sea,fish
127262,chelidonichthys lucerna,celtic seas,fish
127262,chelidonichthys lucerna,bay of biscay and the iberian coast,fish
105824,chimaera monstrosa,greenland sea,fish
105824,chimaera monstrosa,barents sea,fish
105824,chimaera monstrosa,norwegian sea,fish
105824,chimaera monstrosa,icelandic waters,fish
105824,chimaera monstrosa,faroes,fish
105824,chimaera monstrosa,greater north sea,fish
105824,chimaera monstrosa,celtic seas,fish
105824,chimaera monstrosa,oceanic northeast atlantic,fish
105824,chimaera monstrosa,azores,fish
105824,chimaera monstrosa,bay of biscay and the iberian coast,fish
105831,chlamydoselachus anguineus,barents sea,fish
105831,chlamydoselachus anguineus,norwegian sea,fish
105831,chlamydoselachus anguineus,faroes,fish
105831,chlamydoselachus anguineus,celtic seas,fish
105831,chlamydoselachus anguineus,oceanic northeast atlantic,fish
105831,chlamydoselachus anguineus,azores,fish
105831,chlamydoselachus anguineus,bay of biscay and the iberian coast,fish
1488274,chroicocephalus genei,bay of biscay and the iberian coast,birds
137149,larus ridibundus,barents sea,birds
137149,larus ridibundus,norwegian sea,birds
137149,larus ridibundus,faroes,birds
137149,larus ridibundus,icelandic waters,birds
137149,larus ridibundus,azores,birds
137149,larus ridibundus,bay of biscay and the iberian coast,birds
137149,larus ridibundus,celtic seas,birds
137149,larus ridibundus,greater north sea,birds
137149,larus ridibundus,baltic sea,birds
137071,clangula hyemalis,barents sea,birds
137071,clangula hyemalis,norwegian sea,birds
137071,clangula hyemalis,faroes,birds
137071,clangula hyemalis,icelandic waters,birds
137071,clangula hyemalis,greenland sea,birds
137071,clangula hyemalis,arcticocean,birds
137071,clangula hyemalis,celtic seas,birds
137071,clangula hyemalis,greater north sea,birds
137071,clangula hyemalis,baltic sea,birds
126285,conger conger,norwegian sea,fish
126285,conger conger,icelandic waters,fish
126285,conger conger,faroes,fish
126285,conger conger,greater north sea,fish
126285,conger conger,celtic seas,fish
126285,conger conger,oceanic northeast atlantic,fish
126285,conger conger,azores,fish
126285,conger conger,bay of biscay and the iberian coast,fish
712453,coregonus maraena,baltic sea,fish
126139,coregonus,celtic seas,fish
126139,coregonus,greater north sea,fish
127214,cyclopterus lumpus,greenland sea,fish
127214,cyclopterus lumpus,norwegian sea,fish
127214,cyclopterus lumpus,faroes,fish
127214,cyclopterus lumpus,baltic sea,fish
127214,cyclopterus lumpus,greater north sea,fish
127214,cyclopterus lumpus,celtic seas,fish
127214,cyclopterus lumpus,oceanic northeast atlantic,fish
127214,cyclopterus lumpus,bay of biscay and the iberian coast,fish
137078,cystophora cristata,barents sea,mammals
137078,cystophora cristata,norwegian sea,mammals
137078,cystophora cristata,faroes,mammals
137078,cystophora cristata,icelandic waters,mammals
137078,cystophora cristata,greenland sea,mammals
137078,cystophora cristata,arcticocean,mammals
105851,dasyatis pastinaca,greater north sea,fish
105851,dasyatis pastinaca,celtic seas,fish
105851,dasyatis pastinaca,azores,fish
105851,dasyatis pastinaca,bay of biscay and the iberian coast,fish
105852,dasyatis tortonesei,bay of biscay and the iberian coast,fish
298167,deania calceus,icelandic waters,fish
298167,deania calceus,faroes,fish
298167,deania calceus,greater north sea,fish
298167,deania calceus,celtic seas,fish
298167,deania calceus,oceanic northeast atlantic,fish
298167,deania calceus,azores,fish
298167,deania calceus,bay of biscay and the iberian coast,fish
137115,delphinapterus leucas,barents sea,mammals
137094,delphinus delphis,oceanic northeast atlantic,mammals
137094,delphinus delphis,azores,mammals
137094,delphinus delphis,bay of biscay and the iberian coast,mammals
137094,delphinus delphis,celtic seas,mammals
137094,delphinus delphis,greater north sea,mammals
137094,delphinus delphis,baltic sea,mammals
273962,dentex dentex,bay of biscay and the iberian coast,fish
126976,dicentrarchus punctatus,celtic seas,fish
126976,dicentrarchus punctatus,bay of biscay and the iberian coast,fish
105869,dipturus batis,icelandic waters,fish
105869,dipturus batis,faroes,fish
105869,dipturus batis,oceanic northeast atlantic,fish
711846,dipturus intermedius,icelandic waters,fish
711846,dipturus intermedius,greater north sea,fish
711846,dipturus intermedius,celtic seas,fish
711846,dipturus intermedius,oceanic northeast atlantic,fish
105871,dipturus nidarosiensis,norwegian sea,fish
105871,dipturus nidarosiensis,faroes,fish
105871,dipturus nidarosiensis,greater north sea,fish
105871,dipturus nidarosiensis,celtic seas,fish
105871,dipturus nidarosiensis,oceanic northeast atlantic,fish
105871,dipturus nidarosiensis,bay of biscay and the iberian coast,fish
105872,dipturus oxyrinchus,norwegian sea,fish
105872,dipturus oxyrinchus,faroes,fish
105872,dipturus oxyrinchus,greater north sea,fish
105872,dipturus oxyrinchus,celtic seas,fish
105872,dipturus oxyrinchus,oceanic northeast atlantic,fish
105872,dipturus oxyrinchus,azores,fish
126858,epigonus telescopus,faroes,fish
126858,epigonus telescopus,celtic seas,fish
126858,epigonus telescopus,oceanic northeast atlantic,fish
126858,epigonus telescopus,azores,fish
126858,epigonus telescopus,bay of biscay and the iberian coast,fish
127036,epinephelus marginatus,azores,fish
127036,epinephelus marginatus,bay of biscay and the iberian coast,fish
137079,erignathus barbatus,barents sea,mammals
137079,erignathus barbatus,norwegian sea,mammals
137079,erignathus barbatus,faroes,mammals
137079,erignathus barbatus,icelandic waters,mammals
137079,erignathus barbatus,greenland sea,mammals
137079,erignathus barbatus,arcticocean,mammals
105911,etmopterus princeps,greenland sea,fish
105911,etmopterus princeps,icelandic waters,fish
105911,etmopterus princeps,faroes,fish
105911,etmopterus princeps,greater north sea,fish
105911,etmopterus princeps,celtic seas,fish
105911,etmopterus princeps,oceanic northeast atlantic,fish
105911,etmopterus princeps,azores,fish
105911,etmopterus princeps,bay of biscay and the iberian coast,fish
105912,etmopterus pusillus,oceanic northeast atlantic,fish
105912,etmopterus pusillus,azores,fish
105912,etmopterus pusillus,bay of biscay and the iberian coast,fish
105913,etmopterus spinax,barents sea,fish
105913,etmopterus spinax,norwegian sea,fish
105913,etmopterus spinax,icelandic waters,fish
105913,etmopterus spinax,faroes,fish
105913,etmopterus spinax,greater north sea,fish
105913,etmopterus spinax,celtic seas,fish
105913,etmopterus spinax,oceanic northeast atlantic,fish
105913,etmopterus spinax,azores,fish
105913,etmopterus spinax,bay of biscay and the iberian coast,fish
159023,eubalaena glacialis,barents sea,mammals
159023,eubalaena glacialis,norwegian sea,mammals
159023,eubalaena glacialis,icelandic waters,mammals
159023,eubalaena glacialis,azores,mammals
159023,eubalaena glacialis,bay of biscay and the iberian coast,mammals
137131,fratercula arctica,barents sea,birds
137131,fratercula arctica,norwegian sea,birds
137131,fratercula arctica,faroes,birds
137131,fratercula arctica,icelandic waters,birds
137131,fratercula arctica,greenland sea,birds
137131,fratercula arctica,oceanic northeast atlantic,birds
137131,fratercula arctica,bay of biscay and the iberian coast,birds
137131,fratercula arctica,celtic seas,birds
137131,fratercula arctica,greater north sea,birds
232054,fulica atra,norwegian sea,birds
232054,fulica atra,azores,birds
232054,fulica atra,bay of biscay and the iberian coast,birds
232054,fulica atra,celtic seas,birds
232054,fulica atra,greater north sea,birds
232054,fulica atra,baltic sea,birds
137195,fulmarus glacialis,barents sea,birds
137195,fulmarus glacialis,norwegian sea,birds
137195,fulmarus glacialis,faroes,birds
137195,fulmarus glacialis,icelandic waters,birds
137195,fulmarus glacialis,greenland sea,birds
137195,fulmarus glacialis,arcticocean,birds
137195,fulmarus glacialis,oceanic northeast atlantic,birds
137195,fulmarus glacialis,azores,birds
137195,fulmarus glacialis,bay of biscay and the iberian coast,birds
137195,fulmarus glacialis,celtic seas,birds
137195,fulmarus glacialis,greater north sea,birds
105812,galeus melastomus,norwegian sea,fish
105812,galeus melastomus,faroes,fish
105812,galeus melastomus,greater north sea,fish
105813,galeus murinus,greenland sea,fish
105813,galeus murinus,icelandic waters,fish
105813,galeus murinus,faroes,fish
105813,galeus murinus,celtic seas,fish
105813,galeus murinus,oceanic northeast atlantic,fish
105813,galeus murinus,bay of biscay and the iberian coast,fish
137185,gavia adamsii,barents sea,birds
137185,gavia adamsii,norwegian sea,birds
137185,gavia adamsii,faroes,birds
137185,gavia adamsii,baltic sea,birds
137186,gavia arctica,barents sea,birds
137186,gavia arctica,norwegian sea,birds
137186,gavia arctica,bay of biscay and the iberian coast,birds
137186,gavia arctica,celtic seas,birds
137186,gavia arctica,greater north sea,birds
137186,gavia arctica,baltic sea,birds
137187,gavia immer,barents sea,birds
137187,gavia immer,norwegian sea,birds
137187,gavia immer,faroes,birds
137187,gavia immer,icelandic waters,birds
137187,gavia immer,greenland sea,birds
137187,gavia immer,azores,birds
137187,gavia immer,bay of biscay and the iberian coast,birds
137187,gavia immer,celtic seas,birds
137187,gavia immer,greater north sea,birds
137187,gavia immer,baltic sea,birds
137188,gavia stellata,barents sea,birds
137188,gavia stellata,norwegian sea,birds
137188,gavia stellata,faroes,birds
137188,gavia stellata,icelandic waters,birds
137188,gavia stellata,greenland sea,birds
137188,gavia stellata,arcticocean,birds
137188,gavia stellata,bay of biscay and the iberian coast,birds
137188,gavia stellata,celtic seas,birds
137188,gavia stellata,greater north sea,birds
137188,gavia stellata,baltic sea,birds
1016062,glaucostegus cemiculus,bay of biscay and the iberian coast,fish
269225,glaucostegus,bay of biscay and the iberian coast,fish
137096,globicephala macrorhynchus,azores,mammals
137097,globicephala melas,barents sea,mammals
137097,globicephala melas,norwegian sea,mammals
137097,globicephala melas,faroes,mammals
137097,globicephala melas,icelandic waters,mammals
137097,globicephala melas,greenland sea,mammals
137097,globicephala melas,oceanic northeast atlantic,mammals
137097,globicephala melas,azores,mammals
137097,globicephala melas,bay of biscay and the iberian coast,mammals
137097,globicephala melas,celtic seas,mammals
137097,globicephala melas,greater north sea,mammals
126886,gobius cobitis,celtic seas,fish
126887,gobius couchi,celtic seas,fish
137098,grampus griseus,faroes,mammals
137098,grampus griseus,oceanic northeast atlantic,mammals
137098,grampus griseus,azores,mammals
137098,grampus griseus,bay of biscay and the iberian coast,mammals
137098,grampus griseus,celtic seas,mammals
137098,grampus griseus,greater north sea,mammals
105856,gymnura altavela,bay of biscay and the iberian coast,fish
137080,halichoerus grypus,barents sea,mammals
137080,halichoerus grypus,norwegian sea,mammals
137080,halichoerus grypus,faroes,mammals
137080,halichoerus grypus,icelandic waters,mammals
137080,halichoerus grypus,bay of biscay and the iberian coast,mammals
137080,halichoerus grypus,celtic seas,mammals
137080,halichoerus grypus,greater north sea,mammals
137080,halichoerus grypus,baltic sea,mammals
127251,helicolenus dactylopterus,norwegian sea,fish
127251,helicolenus dactylopterus,icelandic waters,fish
127251,helicolenus dactylopterus,faroes,fish
127251,helicolenus dactylopterus,greater north sea,fish
127251,helicolenus dactylopterus,celtic seas,fish
127251,helicolenus dactylopterus,oceanic northeast atlantic,fish
127251,helicolenus dactylopterus,azores,fish
127251,helicolenus dactylopterus,bay of biscay and the iberian coast,fish
105833,hexanchus griseus,norwegian sea,fish
105833,hexanchus griseus,icelandic waters,fish
105833,hexanchus griseus,faroes,fish
105833,hexanchus griseus,greater north sea,fish
105833,hexanchus griseus,celtic seas,fish
105833,hexanchus griseus,oceanic northeast atlantic,fish
105833,hexanchus griseus,azores,fish
105833,hexanchus griseus,bay of biscay and the iberian coast,fish
105834,hexanchus nakamurai,bay of biscay and the iberian coast,fish
154776,hippocampus guttulatus,greater north sea,fish
154776,hippocampus guttulatus,celtic seas,fish
154776,hippocampus guttulatus,azores,fish
154776,hippocampus guttulatus,bay of biscay and the iberian coast,fish
127380,hippocampus hippocampus,greater north sea,fish
127380,hippocampus hippocampus,celtic seas,fish
127380,hippocampus hippocampus,azores,fish
127380,hippocampus hippocampus,bay of biscay and the iberian coast,fish
127138,hippoglossus hippoglossus,greenland sea,fish
127138,hippoglossus hippoglossus,barents sea,fish
127138,hippoglossus hippoglossus,norwegian sea,fish
127138,hippoglossus hippoglossus,faroes,fish
127138,hippoglossus hippoglossus,greater north sea,fish
127138,hippoglossus hippoglossus,celtic seas,fish
127138,hippoglossus hippoglossus,oceanic northeast atlantic,fish
567449,hydrocoloeus minutus,bay of biscay and the iberian coast,birds
567449,hydrocoloeus minutus,celtic seas,birds
567449,hydrocoloeus minutus,greater north sea,birds
567449,hydrocoloeus minutus,baltic sea,birds
105826,hydrolagus mirabilis,greenland sea,fish
105826,hydrolagus mirabilis,icelandic waters,fish
105826,hydrolagus mirabilis,faroes,fish
105826,hydrolagus mirabilis,celtic seas,fish
105826,hydrolagus mirabilis,oceanic northeast atlantic,fish
105826,hydrolagus mirabilis,bay of biscay and the iberian coast,fish
343899,hyperoodon ampullatus,barents sea,mammals
343899,hyperoodon ampullatus,norwegian sea,mammals
343899,hyperoodon ampullatus,faroes,mammals
343899,hyperoodon ampullatus,icelandic waters,mammals
343899,hyperoodon ampullatus,greenland sea,mammals
343899,hyperoodon ampullatus,oceanic northeast atlantic,mammals
343899,hyperoodon ampullatus,azores,mammals
343899,hyperoodon ampullatus,bay of biscay and the iberian coast,mammals
343899,hyperoodon ampullatus,celtic seas,mammals
343899,hyperoodon ampullatus,greater north sea,mammals
137139,larus audouinii,bay of biscay and the iberian coast,birds
1584284,ichthyaetus melanocephalus,bay of biscay and the iberian coast,birds
1584284,ichthyaetus melanocephalus,celtic seas,birds
1584284,ichthyaetus melanocephalus,greater north sea,birds
1584284,ichthyaetus melanocephalus,baltic sea,birds
105840,isurus paucus,oceanic northeast atlantic,fish
105840,isurus paucus,azores,fish
105840,isurus paucus,bay of biscay and the iberian coast,fish
137113,kogia breviceps,oceanic northeast atlantic,mammals
137113,kogia breviceps,azores,mammals
137113,kogia breviceps,bay of biscay and the iberian coast,mammals
126965,labrus bergylta,norwegian sea,fish
126965,labrus bergylta,greater north sea,fish
126965,labrus bergylta,celtic seas,fish
126965,labrus bergylta,azores,fish
126965,labrus bergylta,bay of biscay and the iberian coast,fish
1571853,leucopleurus acutus,barents sea,mammals
1571853,leucopleurus acutus,norwegian sea,mammals
1571853,leucopleurus acutus,faroes,mammals
1571853,leucopleurus acutus,icelandic waters,mammals
1571853,leucopleurus acutus,greenland sea,mammals
1571853,leucopleurus acutus,oceanic northeast atlantic,mammals
1571853,leucopleurus acutus,celtic seas,mammals
1571853,leucopleurus acutus,greater north sea,mammals
137101,lagenorhynchus albirostris,barents sea,mammals
137101,lagenorhynchus albirostris,norwegian sea,mammals
137101,lagenorhynchus albirostris,faroes,mammals
137101,lagenorhynchus albirostris,icelandic waters,mammals
137101,lagenorhynchus albirostris,greenland sea,mammals
137101,lagenorhynchus albirostris,bay of biscay and the iberian coast,mammals
137101,lagenorhynchus albirostris,celtic seas,mammals
137101,lagenorhynchus albirostris,greater north sea,mammals
137101,lagenorhynchus albirostris,baltic sea,mammals
101172,lampetra fluviatilis,baltic sea,fish
101172,lampetra fluviatilis,greater north sea,fish
101172,lampetra fluviatilis,celtic seas,fish
137138,larus argentatus,barents sea,birds
137138,larus argentatus,norwegian sea,birds
137138,larus argentatus,faroes,birds
137138,larus argentatus,icelandic waters,birds
137138,larus argentatus,bay of biscay and the iberian coast,birds
137138,larus argentatus,celtic seas,birds
137138,larus argentatus,greater north sea,birds
137138,larus argentatus,baltic sea,birds
137141,larus canus,barents sea,birds
137141,larus canus,norwegian sea,birds
137141,larus canus,faroes,birds
137141,larus canus,icelandic waters,birds
137141,larus canus,bay of biscay and the iberian coast,birds
137141,larus canus,celtic seas,birds
137141,larus canus,greater north sea,birds
137141,larus canus,baltic sea,birds
148797,larus delawarensis,oceanic northeast atlantic,birds
148797,larus delawarensis,azores,birds
137142,larus fuscus,barents sea,birds
137142,larus fuscus,norwegian sea,birds
137142,larus fuscus,faroes,birds
137142,larus fuscus,icelandic waters,birds
137142,larus fuscus,greenland sea,birds
137142,larus fuscus,azores,birds
137142,larus fuscus,bay of biscay and the iberian coast,birds
137142,larus fuscus,celtic seas,birds
137142,larus fuscus,greater north sea,birds
137142,larus fuscus,baltic sea,birds
137144,larus glaucoides,barents sea,birds
137144,larus glaucoides,norwegian sea,birds
137144,larus glaucoides,faroes,birds
137144,larus glaucoides,icelandic waters,birds
137144,larus glaucoides,greenland sea,birds
137144,larus glaucoides,azores,birds
137144,larus glaucoides,celtic seas,birds
137144,larus glaucoides,greater north sea,birds
137145,larus hyperboreus,barents sea,birds
137145,larus hyperboreus,norwegian sea,birds
137145,larus hyperboreus,faroes,birds
137145,larus hyperboreus,icelandic waters,birds
137145,larus hyperboreus,greenland sea,birds
137145,larus hyperboreus,arcticocean,birds
137145,larus hyperboreus,azores,birds
137145,larus hyperboreus,celtic seas,birds
137145,larus hyperboreus,greater north sea,birds
137146,larus marinus,barents sea,birds
137146,larus marinus,norwegian sea,birds
137146,larus marinus,faroes,birds
137146,larus marinus,icelandic waters,birds
137146,larus marinus,greenland sea,birds
137146,larus marinus,azores,birds
137146,larus marinus,bay of biscay and the iberian coast,birds
137146,larus marinus,celtic seas,birds
137146,larus marinus,greater north sea,birds
137146,larus marinus,baltic sea,birds
232052,larus michahellis,oceanic northeast atlantic,birds
232052,larus michahellis,azores,birds
232052,larus michahellis,bay of biscay and the iberian coast,birds
232052,larus michahellis,celtic seas,birds
232052,larus michahellis,baltic sea,birds
127088,lepidopus caudatus,icelandic waters,fish
127088,lepidopus caudatus,oceanic northeast atlantic,fish
127088,lepidopus caudatus,azores,fish
127088,lepidopus caudatus,bay of biscay and the iberian coast,fish
127146,lepidorhombus whiffiagonis,faroes,fish
